************************************************
    Occurrences    Words
              1    0
              1    1977
              1    1999
              1    2005
              1    2005s
              1    2017s
              1    29s
              8    A
              1    API
              1    Accounting
              1    Adware
              1    All
              1    American
              1    An
              2    As
              1    Association
              1    Behaviorsbased
              1    Board
              1    By
              1    CSMA/CD
              1    Card
              1    Centers
              1    Classification
              1    Cloud
              1    Company
              1    Congressionallysestablished
              2    Copyright
              1    Created
              1    DOM
              1    DOMs
              1    DRaaSs
              1    DSL
              1    DSSs
              2    Data
              1    Devices
              1    Diseasess
              1    Edition
              1    Examples
              1    Fetch
              2    HTML
              1    HTML5
              1    HTMLs
              1    Health
              3    If
              1    Industry
              2    Information
              1    International
              1    In the news
              3    It
              1    Its
              1    Java
              1    Linux
              1    MAC
              1    MIT
              1    Management
              1    OSI
              1    One
              1    Oversight
              1    PCIe
              1    Payment
              1    Projects
              1    Promoting
              1    Public
              1    RAID
              1    RAIDs
              1    RESTful
              1    RSs232
              1    Repeaters
              1    Reserveds
              1    Rights
              2    SSD
              1    Secondary
              1    Security
              1    September
              1    Services
              1    Standard
              1    Statess
              1    Storage
              1    TechTarget
              1    Tenth
              9    The
              1    This
              1    Tier
              1    United
              1    WHATWG
              1    Wikipedia
              1    With
              1    Zadara
             30    a
              2    about
              1    above
              1    access
              1    access/collision
              1    action
              1    addressess
              1    adherence
              1    advertising
              1    after
              1    agree
              1    agreedsupon
              2    all
              1    also
              1    among
              7    an
             25    and
              1    another
              3    any
              4    application
              2    approach
              1    appropriate
              5    are
              1    ares
              1    array
              2    as
              1    ascending
              1    assesses
              2    at
              1    attaches
              1    attenuated
              2    audit
              1    auditor
              1    back
              1    banners
              1    be
              2    between
              1    bitss
              1    blocks
              1    bottom
              1    breaks
              1    broadcast
              1    bug
              1    but
              2    by
              2    cable
              1    cables
              1    cabless
              1    call
              2    called
              1    can
              1    capacity
              1    card
              1    cards
              1    cataloging
              1    chain
              1    characters
              1    checking
              1    chronic
              1    clinical
              1    colophon
              1    common
              1    commonly
              1    communicate
              2    communications
              1    compact
              1    companies
              1    compliance
              1    compute
              2    computer
              1    computers
              1    computersss
              1    computing
              1    concerned
              2    connection
              1    connections
              2    connectorss
              1    consent
              1    convenient
              1    conversion
              1    corresponding
              1    create
             11    data
              1    datas
              1    deal
              1    defines
              1    definitions
              1    designed
              1    detectionss
              1    determine
              1    developed
              1    developments
              2    devices
              2    devicess
              1    digital
              1    directly
              1    disaster
